Товар наименование;код товара;цена;Остаток;код склада
Пылесос SHIVAKI VCB 0120 серый;4780;34000;5;4
Пылесос SHIVAKI VCB 0120 серый;4780;33990;1;17
Пылесос SHIVAKI VCB 0120 серый;4780;36700;0;2
"Пылесос WILLMARK VC-2421CYM (Циклон,телескоп.трубка, 3л, 2000Вт,щетка ""Multi power"",фиолет";19139;37900;0;2
"Пылесос WILLMARK VC-2421CYM (Циклон,телескоп.трубка, 3л, 2000Вт,щетка ""Multi power"",фиолет";19139;32980;2;3
Пылесос WILLMARK VC-2630CYM(трубка телескоп/металл.,2000Вт,мощ.всас.450Вт,2,5л,бордовый;19090;39900;0;2
Робот пылесос РС11;18239;62564;4;4
"Стиральная  машина ARTEL ""WF60F010AG"" brown";15505;138953;3;4
"Стиральная  машина ARTEL ""WF60F010AG"" brown";15505;141160;0;1
"Стиральная  машина ARTEL ""WF60F010AG"" brown";15505;142018;0;2
"Стиральная  машина ARTEL ""WF60F010AS"" grey";15506;138963;2;4
"Стиральная  машина ARTEL ""WF60F010AS"" grey";15506;148741;0;2
"Стиральная  машина ARTEL ""WF60F010AS"" grey";15506;139643;0;3
"Стиральная  машина ARTEL ""WF60F010AW"" white";15629;130767;3;4
"Стиральная  машина ARTEL ""WF60F010AW"" white";15629;142615;0;2
"Стиральная  машина ARTEL ""WF60F010AW"" white";15629;131447;0;3
"Стиральная  машина ARTEL ""WF60H023CG"" brown";15277;149920;1;4
"Стиральная  машина ARTEL ""WF60H023CG"" brown";15277;151300;0;2
"Стиральная  машина ARTEL ""WF60H023CW"" white";15276;157580;2;4
"Стиральная  машина ARTEL ""WF60H023CW"" white";15276;157600;0;2
Стиральная машина Centek CT-1901 белый) 1000/6кг/40см/23пр;17793;124869;3;4
Стиральная машина Centek CT-1901 белый) 1000/6кг/40см/23пр;17793;124869;11;2
Стиральная машина Centek CT-1901 белый) 1000/6кг/40см/23пр;17793;124869;4;3
Стиральная машина Centek CT-1910 (белый) 1000 / 6кг / 40см / 23пр /LED-Дисплей/Очистка барабана/A+;16492;135713;2;4
Стиральная машина Centek CT-1910 (белый) 1000 / 6кг / 40см / 23пр /LED-Дисплей/Очистка барабана/A+;16492;135713;4;2
Стиральная машина Centek CT-1910 (белый) 1000 / 6кг / 40см / 23пр /LED-Дисплей/Очистка барабана/A+;16492;135713;4;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB610/10;11195;118000;0;4
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB610/10;11195;114485;1;17
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB610/10;11195;118000;2;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB610/10;11195;118000;0;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB712/10;11545;119862;0;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-HB712/10;11545;119736;0;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-ME712/04;16718;115827;0;4
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-ME712/04;16718;114494;3;17
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-ME712/04;16718;115827;0;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-ME712/04;16718;119934;0;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-MK814/03;17590;159226;0;4
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-MK814/03;17590;159226;0;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-MK814/03;17590;171600;0;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-SBM1014/15;17518;203977;1;4
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-SBM1014/15;17518;237990;1;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-SC914/15W;19555;232326;1;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-SL814/15 M;17536;166999;2;2
СТИРАЛЬНАЯ МАШИНА БИРЮСА WM-SL814/15 M;17536;181790;0;3
СТИРАЛЬНАЯ МАШИНА БИРЮСА WMD-SM812/03M;19552;192053;2;2
Стиральная машина SHIVAKI TE 45 P белый;11849;49889;0;17
Стиральная машина SHIVAKI TE 45 P белый;11849;49889;3;2
Стиральная машина SHIVAKI TE 45 P белый;11849;54390;0;3
Стиральная машина SHIVAKI TE 45 P синий;11880;65610;10;4
Стиральная машина SHIVAKI TE 45 P синий;11880;65610;8;17
Стиральная машина SHIVAKI TE 45 P синий;11880;65600;2;2
Стиральная машина SHIVAKI TE 45 P синий;11880;63638;0;3
Стиральная машина SHIVAKI TG 100 FP Nature 02;16706;72206;1;4
Стиральная машина SHIVAKI TG 100 FP Nature 02;16706;72962;0;2
Стиральная машина SHIVAKI TG 110 FP  Nature 02;17674;95990;5;4
Стиральная машина SHIVAKI TG 110 FP  Nature 02;17674;95990;0;2
Стиральная машина SHIVAKI TG 70 P Nature 03;16985;56145;4;4
Стиральная машина SHIVAKI TG 70 P Nature 03;16985;56145;8;17
Стиральная машина SHIVAKI TG 70 P Nature 03;16985;56160;0;2
Стиральная машина SHIVAKI TG 70 P Nature 03;16985;56160;1;3
Стиральная машина SHIVAKI TM 65  blue;14268;62499;4;4
Стиральная машина SHIVAKI TM 65  blue;14268;62489;1;17
Стиральная машина SHIVAKI TM 65  blue;14268;57740;0;2
Стиральная машина SHIVAKI TM 65  red;14166;58527;1;4
Стиральная машина SHIVAKI TM 65  red;14166;64099;0;2
Стиральная машина SHIVAKl TG 100 FP Water 01;16621;72170;9;4
Стиральная машина SHIVAKl TG 100 FP Water 01;16621;72170;4;1
Стиральная машина SHIVAKl TG 100 FP Water 01;16621;72170;10;2
Стиральная машина SHIVAKl TG 100 FP Water 01;16621;72170;2;3
Стиральная машина SHIVAKl TG 90P  Abstract 01;16598;66745;3;4
Стиральная машина SHIVAKl TG 90P  Abstract 01;16598;63600;0;2
Стиральная машина SHIVAKl TG 90P  Abstract 01;16598;66745;0;3
Стиральная машина SHIVAKl TG 90P  Nature 01;16599;66473;4;4
Стиральная машина SHIVAKl TG 90P  Nature 01;16599;66473;2;17
Стиральная машина SHIVAKl TG 90P  Nature 01;16599;66473;2;2
Стиральная машина SHIVAKl TG 90P  Nature 01;16599;66484;0;3
Холодильник SHIVAKI HD 345 RN  steel stone;15225;151690;6;4
Холодильник SHIVAKI HD 345 RN  steel stone;15225;151690;0;17
Холодильник SHIVAKI HD 345 RN  steel stone;15225;151690;2;2
Холодильник SHIVAKI HD 345 RN  steel stone;15225;151690;1;3
Холодильник SHIVAKI HD 345 RN moist;16291;155865;1;2
Холодильник SHIVAKI HD 345 RN moist;16291;155865;0;3
Холодильник SHIVAKI HD 430 R WENE White;14012;200490;9;2
Холодильник SHIVAKI HD 455 R WENE White;14014;234980;6;2
Холодильник SHIVAKI HS 137 RN silver;15096;86998;6;4
Холодильник SHIVAKI HS 137 RN silver;15096;86998;2;17
Холодильник SHIVAKI HS 137 RN silver;15096;88865;0;2
Холодильник SHIVAKI HS 137 RN silver;15096;86998;1;3
Холодильник SHIVAKI HS 137 RN white;14269;84935;1;4
Холодильник SHIVAKI HS 137 RN white;14269;84935;1;17
Холодильник SHIVAKI HS 137 RN white;14269;84935;4;2
Холодильник SHIVAKI HS 137 RN white;14269;84935;2;3
Холодильник SHIVAKI HD 276FN белый;14037;122970;3;17
Холодильник SHIVAKI HD 276FN белый;14037;122980;2;1
Холодильник SHIVAKI HD 276FN белый;14037;122980;4;2
Холодильник SHIVAKI HD 276FN белый;14037;122980;3;3
Холодильник SHIVAKI HD 316 FN  white;15224;136990;3;4
Холодильник SHIVAKI HD 316 FN  white;15224;139790;0;17
Холодильник SHIVAKI HD 316 FN  white;15224;136980;1;2
Морозильный ларь марки SHIVAKI-Frigo Gool Модель - SFA 148 Red;15125;216836;5;4
Морозильный ларь марки SHIVAKI-Frigo Gool Модель - SFA 148 Red;15125;216930;0;1
Морозильный ларь марки SHIVAKI-Frigo Gool Модель - SFA 148 Red;15125;224890;0;2
Морозильники Xing BD/BC-217;18630;98790;3;2
Морозильники Xing BD/BC-217;18630;98790;1;3
Холодильник  Бирюса HC-12P2;18106;62721;2;17
Холодильник  Бирюса HC-12P2;18106;63380;0;1
Холодильник  Бирюса HC-12P2;18106;63400;0;2
Холодильник  Бирюса HC-18P1;18107;72480;1;4
Холодильник  Бирюса HC-18P1;18107;69253;2;17
Холодильник  Бирюса HC-18P1;18107;71400;0;2
Холодильник  Бирюса HC-18P2;18108;72423;2;17
Холодильник  Бирюса HC-18P2;18108;77000;0;2
Холодильник  Бирюса HC-24G1;18109;100560;0;2
Холодильник  Бирюса HC-24G1;18109;95284;1;3
Холодильник  Бирюса HC-24G2;18110;93518;0;2
Холодильник  Бирюса HC-24G2;18110;96305;1;3
Холодильник  Бирюса HC-24P1;18111;79891;1;4
Холодильник  Бирюса HC-24P1;18111;79891;1;2
Витрина холодильная Бирюса-461RN;11690;229500;0;4
Витрина холодильная Бирюса-461RN;11690;229470;0;2
Витрина холодильная Бирюса-461RN;11690;229470;0;3
Витрина холодильная Бирюса-B390D;19558;238500;2;2
Витрина холодильная Бирюса-B390D;19558;238500;1;3
Морозильник Бирюса М6046;17522;154381;2;4
Морозильник Бирюса М6046;17522;165000;3;2
Морозильник Бирюса-114;449;124690;0;4
Морозильник Бирюса-114;449;124690;7;2
Морозильник Бирюса-114;449;124690;4;3
Морозильник Бирюса-14;50;116704;0;2
Морозильник Бирюса-14;50;121900;0;3
Морозильник Бирюса 6047SN;17097;177880;0;2
Морозильник Бирюса М6047SN;17523;189980;0;2
Морозильник Бирюса М6047SN;17523;193980;0;3
Холодильник морозильник типа I Бирюса M6046SN;18183;169084;1;4
Холодильник Бирюса- 110;4404;95390;0;4
Холодильник Бирюса- 110;4404;105990;0;2
Холодильник Бирюса-50;7738;43979;0;17
Холодильник Бирюса-50;7738;43990;0;2
Холодильник Бирюса-70;8097;53760;0;4
Холодильник Бирюса-70;8097;54390;12;17
Холодильник Бирюса-70;8097;54390;0;2
Холодильник Бирюса-70;8097;54349;3;3
Холодильник Бирюса-95;19292;69900;2;4
Холодильник Бирюса-95;19292;64689;12;17
Холодильник Бирюса-95;19292;69900;6;2
Холодильник Бирюса-95;19292;69900;0;3
Холодильник-морозильник типа I Бирюса - 153;56;118990;1;2
Холодильник-морозильник типа I Бирюса - 153;56;118990;1;3
Холодильник морозильник типа I Бирюса 6041;15956;125290;0;4
Холодильник морозильник типа I Бирюса 6041;15956;125031;0;17
Холодильник морозильник типа I Бирюса 6041;15956;125290;0;2
Холодильник морозильник типа I Бирюса 6041;15956;125290;0;3
Холодильник-морозильник типа I Бирюса 6027;14512;152590;0;1
Холодильник-морозильник типа I Бирюса 6027;14512;152590;2;2
Холодильник-морозильник типа I Бирюса 6027;14512;151090;0;3
Холодильник-морозильник типа I Бирюса 6031;14514;156470;1;4
Холодильник-морозильник типа I Бирюса 6031;14514;164889;0;17
Холодильник-морозильник типа I Бирюса 6031;14514;164890;0;2
Холодильник-морозильник типа I Бирюса 6031;14514;156470;6;3
Холодильник-морозильник типа I Бирюса 6033;14515;133890;0;4
Холодильник-морозильник типа I Бирюса 6033;14515;140190;0;1
Холодильник-морозильник типа I Бирюса 6033;14515;140190;0;2
Холодильник-морозильник типа I Бирюса 6033;14515;140190;0;3
Холодильник-морозильник типа I Бирюса 6049;14518;159790;0;17
Холодильник-морозильник типа I Бирюса 6049;14518;156500;0;2
Холодильник-морозильник типа I Бирюса 6049;14518;159790;0;3
Холодильник-морозильник типа I Бирюса M6027;14511;159990;3;4
Холодильник-морозильник типа I Бирюса M6027;14511;159990;2;2
Холодильник-морозильник типа I Бирюса M6027;14511;159990;0;3
Холодильник-морозильник типа I Бирюса M6031;14513;167509;5;17
Холодильник-морозильник типа I Бирюса M6031;14513;169890;0;2
Холодильник-морозильник типа I Бирюса M6031;14513;169890;1;3
Холодильник-морозильник типа I Бирюса M6033;14662;143428;2;1
Холодильник-морозильник типа I Бирюса M6033;14662;143428;0;2
Холодильник-морозильник типа I Бирюса M6033;14662;140957;0;3
Холодильник-морозильник типа I Бирюса M6034;14516;134533;2;4
Холодильник-морозильник типа I Бирюса M6034;14516;131790;0;2
Холодильник-морозильник типа I Бирюса M6034;14516;133960;0;3
Холодильник-морозильник типа I Бирюса M6049;14517;168860;1;2
Холодильник-морозильник типа I Бирюса M6049;14517;168790;0;3
Холодильник-морозильник типа I Бирюса W6034;14803;156282;1;2
Холодильник-морозильник типа I Бирюса-118;1158;112990;0;4
Холодильник-морозильник типа I Бирюса-118;1158;112977;0;17
Холодильник-морозильник типа I Бирюса-118;1158;112990;0;1
Холодильник-морозильник типа I Бирюса-118;1158;112990;11;2
Холодильник-морозильник типа I Бирюса-118;1158;112990;0;3
Холодильник-морозильник типа I Бирюса-120;2070;119700;0;4
Холодильник-морозильник типа I Бирюса-120;2070;119700;0;1
Холодильник-морозильник типа I Бирюса-120;2070;119700;0;2
Холодильник-морозильник типа I Бирюса-120;2070;119700;0;3
Холодильник-морозильник типа  Бирюса B960NF;18297;205485;3;17
Холодильник-морозильник типа  Бирюса M920NF;18123;181690;3;4
Холодильник-морозильник типа  Бирюса M920NF;18123;214000;0;2
Холодильник-морозильник типа  Бирюса M960NF;18124;198980;1;4
Холодильник-морозильник типа  Бирюса M960NF;18124;216800;0;2
Холодильник-морозильник типа  Бирюса W960NF;18298;194890;3;17
"Шкаф холодильный типа ""ларь"" Бирюса  155 KХ";7505;90600;0;1
"Шкаф холодильный типа ""ларь"" Бирюса  155 KХ";7505;94411;0;2
"Шкаф холодильный типа ""ларь"" Бирюса  155 KХ";7505;88380;0;3
"Шкаф холодильный типа ""ларь"" Бирюса  210 КХ";7455;102890;0;4
"Шкаф холодильный типа ""ларь"" Бирюса  210 КХ";7455;110024;0;17
"Шкаф холодильный типа ""ларь"" Бирюса  210 КХ";7455;102890;0;1
"Шкаф холодильный типа ""ларь"" Бирюса  210 КХ";7455;102890;0;2
"Шкаф холодильный типа ""ларь"" Бирюса  210 КХ";7455;102980;2;3
"Шкаф холодильный типа ""ларь"" Бирюса  240 KX";7399;119280;0;4
"Шкаф холодильный типа ""ларь"" Бирюса  240 KX";7399;119280;0;2
"Шкаф холодильный типа ""ларь"" Бирюса  240 KX";7399;119280;0;3
"Шкаф холодильный типа ""ларь"" Бирюса  285 KX";7401;132350;1;4
"Шкаф холодильный типа ""ларь"" Бирюса  285 KX";7401;132400;9;17
"Шкаф холодильный типа ""ларь"" Бирюса  285 KX";7401;132279;3;2
"Шкаф холодильный типа ""ларь"" Бирюса  285 KX";7401;132350;6;3
"Шкаф холодильный типа ""ларь"" Бирюса-115 KX";9996;81490;1;4
"Шкаф холодильный типа ""ларь"" Бирюса-115 KX";9996;90990;0;2
"Шкаф холодильный типа ""ларь"" Бирюса-305 KX";7402;132000;6;4
"Шкаф холодильный типа ""ларь"" Бирюса-305 KX";7402;132000;9;17
"Шкаф холодильный типа ""ларь"" Бирюса-305 KX";7402;128418;0;2
"Шкаф холодильный типа ""ларь"" Бирюса-305 KX";7402;128418;0;3
"Шкаф холодильный типа ""ларь"" Бирюса-455 KХ";7506;189890;0;2
"Шкаф холодильный типа ""ларь"" Бирюса-455 KХ";7506;189970;0;3
Электрич. накопит-ный водонагреватель Oasis Eco ER-30;18985;40500;0;2
Электрич. накопит-ный водонагреватель Oasis Eco ER-80;18987;48434;14;2
Электрич. накопит-ный водонагреватель Oasis Eco ER-80;18987;53100;0;3
Электрич. накопит-ный водонагреватель OASIS LN-15 (над раковиной);18976;39078;0;2
Электрич. накопит-ный водонагреватель OASIS LN-15 (над раковиной);18976;39078;1;3
Электрич. накопит-ный водонагреватель OASIS LP-10 ( под раковиной);18978;29969;13;2
Электрич. накопит-ный водонагреватель OASIS Z-80 ч/б;18981;114066;0;2
Электрич. накопит-ный водонагреватель OASIS Z-80 ч/б;18981;113603;1;3
Электрич. накопит-ный водонагреватель OASIS АР-50;18974;72889;3;2
Электрич. накопит-ный водонагреватель OASIS АР-80;18975;88570;4;2
Электрич. накопит-ный водонагреватель OASIS АР-80;18975;92800;0;3
Водонагреватель SHIVAKI SH WH 1.5 50  steel;14773;47977;6;4
Водонагреватель SHIVAKI SH WH 1.5 50  steel;14773;49590;0;2
Водонагреватель SHIVAKI SH WH 1.5 50  steel;14773;47977;0;3
Водонагреватель SHIVAKI SH WH 1.5 50S (слим);14116;59500;1;4
Водонагреватель SHIVAKI SH WH 1.5 50S (слим);14116;59490;1;17
Водонагреватель SHIVAKI SH WH 1.5 50S (слим);14116;59500;2;1
Водонагреватель SHIVAKI SH WH 1.5 50S (слим);14116;59490;2;2
Водонагреватель SHIVAKI SH WH 1.5 50S (слим);14116;59490;0;3
Водонагреватель SHIVAKI SH WH 2.0 120;14671;69347;1;4
Водонагреватель SHIVAKI SH WH 2.0 120;14671;66998;0;2
Водонагреватель SHIVAKI SH WH 2.0 80 steel;15048;56015;12;4
Водонагреватель SHIVAKI SH WH 2.0 80 steel;15048;62400;0;2
Фиеста комод 850 (венге/лоредо);15699;45200;0;17
Фиеста комод 850 (венге/лоредо);15699;45200;0;2
001_Салерно_Зеркало LUS Украина (белый);6680;23100;0;2
001_Салерно_Зеркало LUS Украина (белый);6680;23100;0;3
Каспиан 030 Шкаф с зеркалом SZF 1D2S_p (венге);776;86200;0;2
Соната-32 Шкаф 2D2S (каштан);2377;114200;0;4
Соната-32 Шкаф 2D2S (каштан);2377;114200;0;2
Индиана-21 шкаф JSZF 3d2s Украина (сосна античная);5500;16900;0;2
Агата 351 кресло 1х (1173 темно-серый (Savanna plus Grafit));17550;43990;0;2
Алиса Кровать 160х200 (белая);16807;63790;0;4
Алиса Кровать 160х200 (белая);16807;63790;0;2
001_Салерно_Зеркало LUS Украина (белый);6680;23100;10;14
001_Салерно_Зеркало LUS Украина (белый);6680;23100;3;4
Соната-32 Шкаф 2D2S (каштан);2377;114200;1;4
